' ' 32 0 0 0 0 8 0 0 0 0
'p' 112 15 22 0 15 16 0.203125 0.0283203 0.217773 0.0498047
'q' 113 15 23 1 16 16 0.217773 0.0283203 0.232422 0.0507812
'r' 114 11 15 0 15 11 0.232422 0.0283203 0.243164 0.0429688
's' 115 11 15 1 15 12 0.243164 0.0283203 0.253906 0.0429688
't' 116 9 19 0 19 9 0.253906 0.0283203 0.262695 0.046875
'u' 117 16 15 0 15 16 0.262695 0.0283203 0.27832 0.0429688
'v' 118 16 15 0 15 16 0.27832 0.0283203 0.293945 0.0429688
'w' 119 23 15 0 15 23 0.293945 0.0283203 0.316406 0.0429688
'x' 120 16 15 0 15 16 0.316406 0.0283203 0.332031 0.0429688
'y' 121 16 22 0 15 16 0.332031 0.0283203 0.347656 0.0498047
'z' 122 14 15 0 15 14 0.347656 0.0283203 0.361328 0.0429688
'{' 123 11 26 2 22 15 0.361328 0.0283203 0.37207 0.0537109
'|' 124 2 29 2 22 6 0.37207 0.0283203 0.374023 0.0566406
'}' 125 11 26 2 22 15 0.374023 0.0283203 0.384766 0.0537109
'~' 126 17 5 0 13 17 0.384766 0.0283203 0.401367 0.0332031
